date,trips,day_of_week,is_weekend,lag_1,lag_2,rolling_mean_3,rolling_mean_7
2015-01-07,62102,Wednesday,0,52426.0,42752.0,52426.666666666664,50307.57142857143
2015-01-08,71413,Thursday,0,62102.0,52426.0,61980.333333333336,52447.0
2015-01-09,70296,Friday,0,71413.0,62102.0,67937.0,56890.857142857145
2015-01-10,78484,Saturday,1,70296.0,71413.0,73397.66666666667,59753.0
2015-01-11,57026,Sunday,1,78484.0,70296.0,68602.0,62071.28571428572
2015-01-12,57646,Monday,0,57026.0,78484.0,64385.333333333336,64199.0
2015-01-13,63499,Tuesday,0,57646.0,57026.0,59390.333333333336,65780.85714285714
2015-01-14,63329,Wednesday,0,63499.0,57646.0,61491.333333333336,65956.14285714286
2015-01-15,66729,Thursday,0,63329.0,63499.0,64519.0,65287.0
2015-01-16,72480,Friday,0,66729.0,63329.0,67512.66666666667,65599.0
2015-01-17,73363,Saturday,1,72480.0,66729.0,70857.33333333333,64867.42857142857
2015-01-18,72473,Sunday,1,73363.0,72480.0,72772.0,67074.14285714286
2015-01-19,45755,Monday,0,72473.0,73363.0,63863.666666666664,65375.42857142857
2015-01-20,54772,Tuesday,0,45755.0,72473.0,57666.666666666664,64128.71428571428
2015-01-21,59147,Wednesday,0,54772.0,45755.0,53224.666666666664,63531.28571428572
2015-01-22,65602,Thursday,0,59147.0,54772.0,59840.333333333336,63370.28571428572
2015-01-23,71819,Friday,0,65602.0,59147.0,65522.666666666664,63275.857142857145
2015-01-24,80709,Saturday,1,71819.0,65602.0,72710.0,64325.28571428572
2015-01-25,57895,Sunday,1,80709.0,71819.0,70141.0,62242.71428571428
2015-01-26,43395,Monday,0,57895.0,80709.0,60666.333333333336,61905.57142857143
2015-01-27,25244,Tuesday,0,43395.0,57895.0,42178.0,57687.28571428572
2015-01-28,60446,Wednesday,0,25244.0,43395.0,43028.333333333336,57872.857142857145
2015-01-29,68994,Thursday,0,60446.0,25244.0,51561.333333333336,58357.42857142857
2015-01-30,83723,Friday,0,68994.0,60446.0,71054.33333333333,60058.0
2015-01-31,92257,Saturday,1,83723.0,68994.0,81658.0,61707.71428571428
2015-02-01,76910,Sunday,1,92257.0,83723.0,84296.66666666667,64424.142857142855
2015-02-02,68980,Monday,0,76910.0,92257.0,79382.33333333333,68079.14285714286
2015-02-03,70188,Tuesday,0,68980.0,76910.0,72026.0,74499.71428571429
2015-02-04,66835,Wednesday,0,70188.0,68980.0,68667.66666666667,75412.42857142857
2015-02-05,80913,Thursday,0,66835.0,70188.0,72645.33333333333,77115.14285714286
2015-02-06,85940,Friday,0,80913.0,66835.0,77896.0,77431.85714285714
2015-02-07,81157,Saturday,1,85940.0,80913.0,82670.0,75846.14285714286
2015-02-08,63000,Sunday,1,81157.0,85940.0,76699.0,73859.0
2015-02-09,61956,Monday,0,63000.0,81157.0,68704.33333333333,72855.57142857143
2015-02-10,64766,Tuesday,0,61956.0,63000.0,63240.666666666664,72081.0
2015-02-11,72470,Wednesday,0,64766.0,61956.0,66397.33333333333,72886.0
2015-02-12,83234,Thursday,0,72470.0,64766.0,73490.0,73217.57142857143
2015-02-13,98024,Friday,0,83234.0,72470.0,84576.0,74943.85714285714
2015-02-14,100345,Saturday,1,98024.0,83234.0,93867.66666666667,77685.0
2015-02-15,89401,Sunday,1,100345.0,98024.0,95923.33333333333,81456.57142857143
2015-02-16,72098,Monday,0,89401.0,100345.0,87281.33333333333,82905.42857142857
2015-02-17,73051,Tuesday,0,72098.0,89401.0,78183.33333333333,84089.0
2015-02-18,72243,Wednesday,0,73051.0,72098.0,72464.0,84056.57142857143
2015-02-19,88757,Thursday,0,72243.0,73051.0,78017.0,84845.57142857143
2015-02-20,100915,Friday,0,88757.0,72243.0,87305.0,85258.57142857143
2015-02-21,98380,Saturday,1,100915.0,88757.0,96017.33333333333,84977.85714285714
2015-02-22,66440,Sunday,1,98380.0,100915.0,88578.33333333333,81697.71428571429
2015-02-23,71217,Monday,0,66440.0,98380.0,78679.0,81571.85714285714
2015-02-24,79115,Tuesday,0,71217.0,66440.0,72257.33333333333,82438.14285714286
2015-02-25,74691,Wednesday,0,79115.0,71217.0,75007.66666666667,82787.85714285714
2015-02-26,83568,Thursday,0,74691.0,79115.0,79124.66666666667,82046.57142857143
2015-02-27,88806,Friday,0,83568.0,74691.0,82355.0,80316.71428571429
2015-02-28,88181,Saturday,1,88806.0,83568.0,86851.66666666667,78859.71428571429
